sample_index,config_index,config_name,velocity_index,U,Re,Ca,E,h,t,theta1_deg,theta2_deg,theta3_deg,D,H,L,H_soft,b,N_per_col,Cd_soft_prior,Cd_cyl_prior,F_exp,F_matlab_iter,F_matlab_pre,F_total_rigid,F_total_Ca,F_leaf_iter,Fcol_1,Fcol_2,Fcol_3,shielding_coef_matlab,angle_diff_deg_matlab
22,1,PVC_20_180,3,0.125,3125.0,0.9600000000000001,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.31932195859829093,0.2402862407852709,0.25940008988559304,0.27041260094610964,0.3304243481718545,0.1863799907852709,0.09318999539263585,7.104417629325784e-22,0.09318999539263503,0.9660651174892294,113.2130234978459
23,1,PVC_20_180,4,0.15000000000000002,3750.0,1.3824000000000005,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.31083568123944266,0.3618559359487703,0.38500112941278963,0.389394145362398,0.4302381918676797,0.28423093594877025,0.14211546797438637,3.0935382519350277e-21,0.1421154679743839,0.948983647120999,109.79672942419981
24,1,PVC_20_180,5,0.175,4375.0,1.8816,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.5591400401125988,0.5168144052291231,0.5412445867769947,0.5300086978543749,0.5387290841943244,0.4111581552291232,0.2055790776145593,4.078542732778526e-21,0.2055790776145639,0.9275635094853105,105.51270189706212
25,1,PVC_20_180,6,0.2,5000.0,2.4576000000000007,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.606210294373831,0.706365382071644,0.7287228697985488,0.692256258422041,0.6554680473544893,0.568365382071644,0.28418269103581517,5.143182093007906e-21,0.2841826910358288,0.9021280359972086,100.42560719944171
26,1,PVC_20_180,7,0.22500000000000003,5625.0,3.110400000000001,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.8631705238791982,0.9260020804823058,0.9442373882621727,0.8761368270653956,0.7801182642646856,0.7513458304823057,0.37567291524117874,6.2701980261872035e-21,0.375672915241127,0.8739357996228629,94.78715992457258
27,1,PVC_20_180,8,0.25,6250.0,3.8400000000000003,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.05731216454787,1.1656916695587933,1.1810948392670035,1.0816504037844386,0.912406945127233,0.9500666695587934,0.47503333477942666,2.2009042811635357e-21,0.4750333347793667,0.8448962855708713,88.97925711417425
28,1,PVC_20_180,9,0.275,6875.0,4.646400000000001,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.2427418871352138,1.414135872179956,1.4318194133462692,1.308796988579171,1.0521078114402376,1.1532296221799558,0.5766148110900617,2.6106018494419884e-21,0.5766148110898941,0.8167735638933007,83.35471277866012
29,1,PVC_20_180,10,0.3,7500.0,5.529600000000001,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.5060391451982262,1.6629531982427124,1.6906583483070408,1.5575765814495914,1.1990295658094183,1.3524531982427124,0.6762265991215327,3.0584044944453075e-21,0.6762265991211797,0.790643891271539,78.12877825430779
30,1,PVC_20_180,11,0.32499999999999996,8125.0,6.4895999999999985,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.597334669758122,1.9077188966832375,1.954181214281438,1.8279891823957009,1.3530079627445366,1.5433126466832374,0.77165632334145,3.543883096745525e-21,0.7716563233417875,0.7669125914078441,73.38251828156882
31,1,PVC_20_180,12,0.35,8750.0,7.5264,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.9695085277645923,2.146944377451057,2.2207044784750627,2.1200347914174995,1.513900159878123,1.724319377451057,0.8621596887255584,1.1680538094411012e-22,0.8621596887254985,0.7455744570679468,69.11489141358936
32,1,PVC_20_180,13,0.375,9375.0,8.64,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.290629248426143,2.380785744202374,2.489574701911814,2.433713408514987,1.6815805748117367,1.8956294942023737,0.9478147471011195,1.0756809847823296e-22,0.9478147471012542,0.7264378897460444,65.28757794920887
33,1,PVC_20_180,14,0.4,10000.0,9.830400000000003,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.650298939633086,2.610154161210464,2.7606744268518537,2.769025033688164,1.8559377710198364,2.058154161210464,1.0290770806050962,9.475226346598771e-23,1.029077080605368,0.7092531153909278,61.85062307818556
34,1,PVC_20_180,15,0.425,10625.0,11.097599999999998,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.8269872028005274,2.836223857463311,3.034142107844662,3.125969666937028,2.036872067911241,2.213067607463311,1.106533803731741,8.7516926624977e-23,1.10653380373157,0.6937710769750265,58.7542153950053
35,1,PVC_20_180,16,0.45,11250.0,12.441600000000001,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,3.219596979060391,3.0601911922584026,3.3102261711727206,3.5045473082615812,2.2242936733676544,2.361566192258403,1.1807830961293202,1.4413170816828388e-23,1.1807830961290828,0.6797663179107134,55.95326358214267
36,1,PVC_20_180,17,0.475,11875.0,13.862400000000001,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,3.6433434769649793,3.2831688450715752,3.5892119641871263,3.9047579576618237,2.4181212014819526,2.5047625950715755,1.252381297535874,2.1791887280573307e-23,1.2523812975357016,0.6670430368350557,53.40860736701114
37,1,PVC_20_180,18,0.5,12500.0,15.360000000000001,12500000.0,0.02,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,4.037886845944374,3.50614737980613,3.871386302827002,4.326601615137754,2.618280479704991,2.64364737980613,1.321823689903051,7.380154456745868e-22,1.3218236899030793,0.6554343383492289,51.08686766984579
38,2,PVC_10_0,0,0.05,1250.0,0.15360000000000004,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.004296654064930295,0.02112979084460443,0.023879947391818014,0.02594550807568878,0.04937305534436987,0.01311478702632619,0.0004067674310975967,0.006354009797614302,0.006354009797614293,0.9039982308571836,100.7996461714367
39,2,PVC_10_0,1,0.07500000000000001,1875.0,0.34560000000000013,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.004442573738018042,0.04689699983219175,0.053274939732158084,0.05837739317029976,0.08937356896357741,0.028760753549584298,0.0009348801102427725,0.013912936719670754,0.013912936719670772,0.9087177823789735,101.7435564757947
40,2,PVC_10_0,2,0.1,2500.0,0.6144000000000002,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.11792551436290921,0.08183538595494821,0.0936126968152187,0.10378203230275512,0.13717866534130577,0.04936482975338469,0.001714052966065592,0.02382538839365949,0.023825388393659604,0.9148201168894032,102.96402337788064
41,2,PVC_10_0,3,0.125,3125.0,0.9600000000000001,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.33977468003754296,0.12497171105488483,0.14416751455289578,0.16215942547305484,0.19216529908592728,0.07384219516915552,0.0027921692106879434,0.035525012979234064,0.03552501297923351,0.9218372104214625,104.36744208429249
42,2,PVC_10_0,4,0.15000000000000002,3750.0,1.3824000000000005,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.16250542908403537,0.1752883131759984,0.20415188664136932,0.23350957268119904,0.2539315959338399,0.1010905762590642,0.004245518875808373,0.04842252869162736,0.04842252869162847,0.9292217243570261,105.84434487140523
43,2,PVC_10_0,5,0.175,4375.0,1.8816,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.1731316697620997,0.23186987159512312,0.2728306862552402,0.31783247392718744,0.3221926670971622,0.1301571779622982,0.006197645901739727,0.06197976603027894,0.06197976603027952,0.9363734873531385,107.2746974706277
44,2,PVC_10_0,6,0.2,5000.0,2.4576000000000007,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.32816480162780337,0.2940349278926834,0.3496472881864443,0.4151281292110205,0.39673402367724464,0.16038097387392147,0.00885803075868697,0.07576147155761738,0.07576147155761713,0.9426351430102187,108.52702860204374
45,2,PVC_10_0,7,0.22500000000000003,5625.0,3.110400000000001,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.47488796818161216,0.3614563925607396,0.4343737803266473,0.5253965385326979,0.4773872571323428,0.1915219332072715,0.012609980185916213,0.08945597651067476,0.08945597651068053,0.9472165993742345,109.4433198748469
46,2,PVC_10_0,8,0.25,6250.0,3.8400000000000003,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.5574852671189098,0.43435413145319496,0.5273748260423623,0.6486377018922194,0.5640159725636166,0.22398030497195445,0.01824268508286653,0.10286880994454414,0.10286880994454378,0.9489527144176125,109.7905428835225
47,2,PVC_10_0,9,0.275,6875.0,4.646400000000001,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.5972995953096499,0.5141163738251644,0.6303636838954922,0.7848516192895856,0.6565070307201188,0.259523104057391,0.027722017121725954,0.1159005434678334,0.1159005434678316,0.945531055823059,109.10621116461179
48,2,PVC_10_0,10,0.3,7500.0,5.529600000000001,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.7768981463500139,0.6065534603865027,0.7498400313202861,0.9340382907247958,0.7547647829047093,0.30503571131807494,0.04799525453555831,0.12852022839126206,0.12852022839125457,0.9301102165471802,106.02204330943604
49,2,PVC_10_0,11,0.32499999999999996,8125.0,6.4895999999999985,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.9824646024422949,0.7524724428612066,0.9227722022242417,1.0961977161978504,0.8587071063722683,0.40652005425647425,0.12503765782776205,0.14074119821435302,0.1407411982143592,0.8688808847061124,93.77617694122247
50,2,PVC_10_0,12,0.35,8750.0,7.5264,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.096636164075445,0.9806638616716112,1.1509451494533078,1.2713298957087498,0.9682625799390614,0.5918981547548209,0.28669342382574076,0.15260236546454017,0.15260236546454,0.7781207848244164,75.62415696488327
51,2,PVC_10_0,13,0.375,9375.0,8.64,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.2108826384116291,1.1818274399929363,1.3520103286136118,1.4594348292574935,1.0833684124058682,0.7414582018815008,0.41314764500147216,0.16415527843998146,0.16415527844004718,0.7271667879693575,65.4333575938715
52,2,PVC_10_0,14,0.4,10000.0,9.830400000000003,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.3690028072641989,1.3656111854192128,1.5426355883204035,1.660512516844082,1.203968885509918,0.8674621371572689,0.5165508739850467,0.17545563158612548,0.1754556315860968,0.693079377098121,58.615875419624174
53,2,PVC_10_0,15,0.425,10625.0,11.097599999999998,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.6664570121787143,1.5401688532315556,1.7299771984570462,1.874562958468514,1.3300141589556205,0.9790236951698148,0.6059072961363187,0.18655819951672706,0.18655819951676916,0.6676045754145521,53.520915082910406
54,2,PVC_10_0,16,0.45,11250.0,12.441600000000001,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.7020379401606682,1.709488105466417,1.916926874243948,2.101586154130791,1.461459336683827,1.080502861194506,0.6854745731200331,0.1975141440371584,0.19751414403731446,0.647418892112417,49.4837784224834
55,2,PVC_10_0,17,0.475,11875.0,13.862400000000001,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.9143138489059408,1.8759319260133027,2.1049633851446963,2.3415821038309117,1.5982637257409764,1.1744497881715512,0.7577104683955385,0.20836965988793796,0.20836965988807465,0.630828633114732,46.16572662294641
56,2,PVC_10_0,18,0.5,12500.0,15.360000000000001,12500000.0,0.01,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,2.087332105993255,2.041080612571646,2.294965806465416,2.5945508075688775,1.7403902398524953,1.2625555438243867,0.8242243231962254,0.2191656103139889,0.21916561031417225,0.6168425733743841,43.36851467487682
57,3,PVC_10_180,0,0.05,1250.0,0.15360000000000004,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.17615228421567508,0.02190589449344032,0.023847695209624542,0.02594550807568878,0.04937305534436987,0.013280894493440318,0.006640447246720161,6.50887367617859e-23,0.006640447246720157,0.9950531921969868,119.01063843939738
58,3,PVC_10_180,1,0.07500000000000001,1875.0,0.34560000000000013,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.17493813621948112,0.05012929537312661,0.0542959474622129,0.05837739317029975,0.0893735689635774,0.030723045373126603,0.015361522686563298,1.4144996639833395e-22,0.015361522686563307,0.9886113001012865,117.7222600202573
59,3,PVC_10_180,2,0.1,2500.0,0.6144000000000002,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.10751472512446728,0.09128054156695858,0.09814725532095897,0.10378203230275512,0.13717866534130577,0.05678054156695858,0.02839027078347929,2.4038269522865027e-22,0.028390270783479294,0.9791058358533394,115.82116717066789
60,3,PVC_10_180,3,0.125,3125.0,0.9600000000000001,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.19839377139112457,0.14709624539263544,0.15665316994279654,0.16215942547305484,0.19216529908592728,0.09318999539263545,0.046594997696317926,3.552208814662892e-22,0.04659499769631752,0.9660651174892294,113.2130234978459
61,3,PVC_10_180,4,0.15000000000000002,3750.0,1.3824000000000005,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.2763685593624601,0.21974046797438515,0.23131306470639482,0.233509572681199,0.25393159593383985,0.14211546797438512,0.07105773398719319,1.5467691259675138e-21,0.07105773398719195,0.948983647120999,109.79672942419981
62,3,PVC_10_180,5,0.175,4375.0,1.8816,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.3855059894128523,0.3112353276145616,0.32345041838849736,0.31783247392718744,0.3221926670971622,0.2055790776145616,0.10278953880727965,2.039271366389263e-21,0.10278953880728195,0.9275635094853105,105.51270189706212
63,3,PVC_10_180,6,0.2,5000.0,2.4576000000000007,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.472907608065416,0.42218269103582207,0.4333614348992745,0.4151281292110205,0.39673402367724464,0.284182691035822,0.14209134551790759,2.571591046503953e-21,0.1420913455179144,0.9021280359972086,100.42560719944171
64,3,PVC_10_180,7,0.22500000000000003,5625.0,3.110400000000001,12500000.0,0.01,0.002,60.0,180.0,300.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.5852380034751905,0.5503291652411529,0.5594468191310864,0.5253965385326979,0.4773872571323428,0.37567291524115287,0.18783645762058937,3.1350990130936018e-21,0.1878364576205635,0.8739357996228629,94.78715992457258
